lead_time,no_of_special_requests,avg_price_per_room,arrival_month,arrival_date,market_segment_type,no_of_week_nights,no_of_weekend_nights,type_of_meal_plan,room_type_reserved,booking_status
244,0,85.85,10,30,4,3,2,0,0,0
276,0,95.0,9,22,4,3,0,0,0,0
233,0,90.0,10,14,4,2,1,0,0,0
156,1,93.08,7,2,4,2,2,0,0,0
76,0,69.33,4,12,4,3,0,0,0,1
317,0,120.0,9,15,3,2,0,0,0,0
57,0,228.6,4,24,4,1,2,1,5,0
40,1,6.67,1,14,4,3,0,0,1,1
18,1,140.9,6,2,4,3,1,0,3,1
5,1,86.6,11,17,3,2,0,0,0,1
71,0,80.75,6,17,3,2,0,0,0,1
95,1,90.3,4,17,4,1,2,0,0,1
40,2,183.9,6,27,4,2,1,0,5,1
102,0,109.0,10,16,3,2,0,1,0,1
7,1,86.78,1,28,4,3,0,0,3,1
64,0,63.75,7,12,3,2,0,3,0,1
60,1,75.0,4,8,3,2,2,0,0,1
230,1,137.0,9,6,4,5,0,0,0,0
377,1,115.0,10,14,3,2,0,1,0,0
5,0,90.33,11,23,4,3,0,3,0,0
42,0,63.0,3,21,3,2,1,0,0,0
141,2,168.3,9,5,4,2,1,0,3,1
80,0,86.4,11,21,4,1,1,0,0,0
192,0,95.0,6,24,3,2,0,0,0,1
144,1,177.65,5,27,4,2,2,0,5,0
172,0,102.3,8,23,4,3,0,0,0,0
6,2,116.0,12,18,4,1,2,0,0,1
16,1,120.0,12,29,4,3,0,3,0,1
154,1,108.0,10,19,4,4,0,3,0,0
134,1,76.58,5,9,4,4,1,0,0,1
66,1,89.25,10,19,4,3,1,0,0,1
67,0,51.97,2,13,4,1,2,3,0,1
15,0,75.0,8,18,3,4,0,0,0,1
6,0,79.0,7,12,2,1,0,0,0,1
1,0,0.0,10,20,1,2,0,0,0,1
20,1,141.0,6,18,4,1,2,0,0,1
39,2,96.3,11,27,4,2,1,0,0,1
63,0,80.5,9,4,3,2,0,1,0,1
96,0,94.5,7,11,4,1,2,1,0,0
23,2,57.59,11,25,4,2,2,3,0,1
71,0,120.0,6,14,3,3,0,0,0,1
62,0,106.88,9,3,4,2,2,0,0,0
11,0,90.0,6,14,2,3,0,0,3,0
7,1,86.0,3,2,4,1,0,0,0,1
43,1,96.3,2,18,4,3,0,0,3,1
2,1,105.34,5,23,4,1,1,3,0,0
290,0,73.95,12,1,4,3,1,0,0,0
87,1,134.42,6,12,4,5,2,0,0,1
10,0,95.0,9,11,3,1,2,0,0,1
73,0,85.67,11,24,3,3,0,0,0,1
30,1,181.8,9,1,4,3,0,0,5,1
5,0,92.25,8,16,4,2,2,3,0,1
55,0,65.0,3,31,2,2,0,0,0,1
5,0,167.0,8,21,4,0,1,0,0,0
30,0,140.0,6,2,3,2,0,0,0,1
1,0,60.0,2,28,4,1,2,0,0,0
275,0,62.8,6,4,4,1,1,0,0,0
0,1,89.0,3,26,4,1,0,3,0,1
6,0,77.25,12,20,4,0,1,0,1,1
72,2,85.0,11,19,4,2,0,0,0,1
98,1,132.3,10,10,4,3,1,0,3,1
8,0,0.0,10,6,1,1,0,0,0,1
34,1,68.7,2,25,4,3,0,3,0,0
15,1,81.0,12,27,3,1,0,0,0,1
32,0,109.87,9,25,4,3,2,0,3,1
146,0,95.0,4,24,3,0,2,0,0,0
136,0,93.08,7,2,4,2,2,0,0,0
99,0,85.5,3,24,4,3,0,3,0,1
223,0,86.63,7,24,4,1,2,0,1,0
85,0,75.0,10,6,3,3,1,0,0,1
188,0,130.0,6,15,3,2,0,0,0,0
80,0,86.0,9,26,3,2,1,1,0,1
217,0,80.75,8,13,4,2,2,3,0,0
6,1,164.0,8,14,4,0,1,0,0,1
83,2,210.6,6,10,4,2,1,1,3,1
237,0,95.56,12,28,4,5,2,0,0,0
10,0,87.0,12,23,4,4,0,0,0,1
29,2,119.0,10,18,4,5,0,3,0,1
160,1,129.0,6,17,4,2,1,0,3,0
65,0,80.75,6,9,3,3,1,0,0,1
308,2,78.3,11,23,4,3,0,3,0,0
6,2,90.0,8,12,4,4,2,0,0,1
138,1,96.3,8,27,4,1,2,0,0,1
19,1,58.45,11,14,4,3,1,0,0,1
5,0,65.0,9,2,2,1,0,0,0,1
112,0,100.0,6,2,3,2,0,0,0,1
27,1,126.0,4,12,4,3,0,0,3,1
257,0,101.5,7,1,3,2,0,1,0,0
12,0,77.0,1,15,4,2,2,3,0,1
133,0,82.45,8,19,3,2,1,0,3,0
45,1,159.12,5,17,3,2,0,0,5,1
181,0,120.0,10,11,4,2,0,0,0,0
81,2,66.37,1,29,4,2,1,0,1,1
4,0,75.0,8,11,2,2,0,0,0,1
23,2,93.82,4,9,4,1,2,3,0,1
91,2,126.0,7,20,4,2,0,0,0,1
100,0,73.95,3,17,4,3,1,0,0,1
15,0,88.4,12,20,4,5,2,0,0,1
0,1,126.0,10,30,4,2,1,0,3,1
48,0,159.3,5,6,4,2,1,0,3,1
152,0,56.52,10,29,3,3,1,0,0,1
5,1,105.0,11,2,4,2,1,0,3,1
205,0,63.75,12,7,4,4,0,3,0,0
270,0,80.0,4,20,3,4,0,0,0,1
99,1,72.25,12,15,4,3,0,0,0,1
65,1,126.0,12,7,4,2,0,0,3,1
18,1,89.0,1,15,4,3,2,0,0,1
99,0,107.1,8,29,4,1,1,3,0,0
97,2,168.3,9,27,4,3,0,0,3,0
170,0,119.0,10,9,4,2,2,0,0,0
167,0,96.3,8,26,4,2,1,0,0,0
0,1,89.89,12,5,4,3,1,0,0,1
182,0,126.9,9,20,4,4,0,0,0,0
245,0,110.0,7,6,3,4,2,0,0,0
60,0,130.48,4,25,4,3,1,0,3,1
346,1,115.0,9,13,3,2,0,1,0,0
4,0,141.0,7,23,4,1,1,0,0,0
0,1,0.0,10,25,1,1,0,0,0,1
171,0,80.75,9,20,3,5,2,0,0,0
23,2,105.0,9,14,4,3,1,0,0,1
93,0,115.0,10,15,4,1,2,0,0,0
105,0,75.0,4,6,3,1,0,0,0,0
72,0,108.0,9,18,3,1,0,1,0,1
1,1,31.0,2,26,2,2,0,0,0,1
37,0,71.55,2,12,4,2,1,0,1,1
349,0,123.33,10,4,3,5,1,0,0,0
5,1,139.0,8,27,4,1,0,3,0,0
13,2,92.0,8,31,4,4,1,0,0,0
15,1,89.0,6,23,4,1,0,3,0,0
145,2,106.71,10,28,4,5,2,0,3,0
